,0
0,-0.14729747
1,-0.09547409
2,-0.12677392
3,-0.1286064
4,-0.1308816
5,-0.12260909
6,-0.119504265
7,-0.11277205
8,-0.095719606
9,-0.08200145
10,-0.07572276
11,-0.07197932
12,-0.077201635
13,-0.07229113
14,-0.061477304
15,-0.05354416
16,-0.04863465
17,-0.036105704
18,-0.012144428
19,-5.4004297e-05
20,-0.015641417
21,-0.041762132
22,-0.07923881
23,-0.06836668
24,-0.15285873
25,-0.11005089
26,-0.16704284
27,-0.1479658
28,-0.13764913
29,-0.11891713
30,-0.08667076
31,-0.08947602
32,-0.082271025
33,-0.06265743
34,-0.051240694
35,-0.037860252
36,-0.03293658
37,-0.03209247
38,-0.025746992
39,-0.016411262
40,-0.010694027
41,0.0001242756
42,0.022371395
43,0.027289018
44,0.017218174
45,-0.005656384
46,-0.05332497
47,-0.060133085
48,-0.14499529
49,-0.103201784
50,-0.15562508
51,-0.13158828
52,-0.12158605
53,-0.09080725
54,-0.026924614
55,-0.0015365431
56,0.0026021316
57,0.00508668
58,-0.007638699
59,-0.01370108
60,-0.021245157
61,-0.024861017
62,-0.022582572
63,-0.018232023
64,-0.012612708
65,-0.0048489845
66,0.013464322
67,0.028759506
68,0.022004629
69,0.0010903211
70,-0.036537167
71,-0.03617039
72,-0.12131946
73,-0.074905895
74,-0.11461452
75,-0.08779108
76,-0.068461455
77,-0.022303106
78,0.057326186
79,0.082187146
80,0.08323336
81,0.086661845
82,0.08860493
83,0.08404246
84,0.07966529
85,0.070136815
86,0.057806917
87,0.03904871
88,0.033424854
89,0.045479372
90,0.088577256
91,0.10492774
92,0.10835891
93,0.099600375
94,0.06642906
95,0.061313868
96,-0.048640076
97,0.009292864
98,-0.0399846
99,-0.0293186
100,-0.026345847
101,0.006770196
102,0.073453166
103,0.07451212
104,0.060163923
105,0.049254857
106,0.038824316
107,0.023375968
108,0.009355514
109,-0.0061079203
110,-0.016457524
111,-0.024412611
112,-0.022659259
113,-0.0054736687
114,0.03435509
115,0.06572783
116,0.07953192
117,0.082232445
118,0.06632043
119,0.07880751
120,-0.004733633
121,0.060278025
122,0.034732766
123,0.06499474
124,0.0888611
125,0.14089866
126,0.22523074
127,0.25452137
128,0.2565167
129,0.25959867
130,0.27115744
131,0.28196967
132,0.27943462
133,0.26969245
134,0.26411965
135,0.25850743
136,0.27176595
137,0.29466447
138,0.295656
139,0.3155727
140,0.31843176
141,0.29973763
142,0.27381957
143,0.2833545
144,0.2121973
145,0.261369
146,0.23839147
147,0.25676858
148,0.26592487
149,0.29176593
150,0.30098912
151,0.32084602
152,0.30911803
153,0.31017023
154,0.31059888
155,0.285519
156,0.24548045
157,0.20352674
158,0.15703312
159,0.11926127
160,0.100540906
161,0.09685121
162,0.12574284
163,0.17771037
164,0.20308511
165,0.20815562
166,0.19581564
167,0.21332653
168,0.14615625
169,0.2096543
170,0.19367442
171,0.21381526
172,0.22238082
173,0.24862069
174,0.28833002
175,0.28075475
176,0.28369778
177,0.27283317
178,0.24300696
179,0.20483834
180,0.16337341
181,0.1289089
182,0.08631634
183,0.062083438
184,0.04789772
185,0.058296274
186,0.09087689
187,0.11639477
188,0.12993872
189,0.11874752
190,0.08198912
191,0.08492598
192,-0.0296453
193,0.02431058
194,-0.01997234
195,-0.0040048114
196,0.01071319
197,0.057177793
198,0.11299115
199,0.12905751
200,0.11200157
201,0.095627114
202,0.08005768
203,0.054454546
204,0.028900443
205,0.0062406
206,-0.0050924453
207,-0.017112896
208,-0.018512124
209,-0.012711058
210,0.010610861
211,0.035834536
212,0.028831754
213,0.008536829
214,-0.025148716
215,-0.03528492
216,-0.13488992
217,-0.084375575
218,-0.14055496
219,-0.118801154
220,-0.11096985
221,-0.08317535
222,-0.02319204
223,0.0042904583
224,0.0053238445
225,0.0022758422
226,-0.0040788013
227,-0.009517668
228,-0.016790029
229,-0.01875691
230,-0.018774759
231,-0.016712038
232,-0.007853961
233,0.0022071449
234,0.016449884
235,0.03396892
236,0.027879896
237,0.0014811824
238,-0.040150385
239,-0.046428286
240,-0.14771383
241,-0.099853
242,-0.16022255
243,-0.13794778
244,-0.12976423
245,-0.106154434
246,-0.053108715
247,-0.02510888
248,-0.017414382
249,-0.01773946
250,-0.011882721
251,-0.011905271
252,-0.011426058
253,-0.008403773
254,-0.0011072338
255,0.00083083514
256,0.007078173
257,0.01479385
258,0.023212148
259,0.042266306
260,0.03777826
261,0.016584463
262,-0.027130328
263,-0.03390877
264,-0.13623509
265,-0.09164275
266,-0.15245835
267,-0.13369124
268,-0.12503743
269,-0.10300448
270,-0.05051657
271,-0.024736485
272,-0.013947604
273,-0.011169595
274,-0.00027429734
275,0.009368992
276,0.015502992
277,0.019410038
278,0.019662445
279,0.021955976
280,0.027295416
281,0.02744503
282,0.036901265
283,0.053395644
284,0.049694322
285,0.025933312
286,-0.01461653
287,-0.01423059
288,-0.12279093
289,-0.06628753
290,-0.1301379
291,-0.10543821
292,-0.10013491
293,-0.07687131
294,-0.02403599
295,-0.0067023123
296,0.003709524
297,0.01015479
298,0.024629649
299,0.03963738
300,0.044378072
301,0.052821413
302,0.054275513
303,0.051650587
304,0.054745186
305,0.057927772
306,0.0717385
307,0.06863327
308,0.056059707
309,0.027238509
310,-0.00588401
311,-0.0016297727
312,-0.08295515
313,-0.0894453
314,-0.13764825
315,-0.12819996
316,-0.12897035
317,-0.11637505
318,-0.10413418
319,-0.08222052
320,-0.063986704
321,-0.03886956
322,-0.03293054
323,-0.019657146
324,-0.015510022
325,-0.015437235
326,-0.021762375
327,-0.018404083
328,-0.016701043
329,-0.012900564
330,0.009478746
331,0.013978962
332,0.004982635
333,-0.016960612
334,-0.05340595
335,-0.045660686
336,-0.114486896
337,-0.08675929
338,-0.14373006
339,-0.12799674
340,-0.12928359
341,-0.114012815
342,-0.105930224
343,-0.09057391
344,-0.071085215
345,-0.05222627
