,0
0,-0.1134601
1,-0.110229075
2,-0.11441348
3,-0.12770098
4,-0.12907897
5,-0.12585166
6,-0.11710806
7,-0.11009124
8,-0.09706466
9,-0.07830656
10,-0.07487251
11,-0.076488316
12,-0.071084194
13,-0.067736514
14,-0.06245774
15,-0.057123255
16,-0.04903833
17,-0.03452106
18,-0.016332984
19,-0.0017545223
20,-0.013637586
21,-0.032868546
22,-0.051052574
23,-0.07637243
24,-0.098860964
25,-0.12352951
26,-0.1514096
27,-0.14814204
28,-0.13345923
29,-0.10880532
30,-0.093353085
31,-0.088192604
32,-0.09241309
33,-0.07382358
34,-0.055211097
35,-0.03778687
36,-0.03030405
37,-0.029579215
38,-0.021343207
39,-0.01663374
40,-0.00997711
41,0.0023048334
42,0.009606719
43,0.02489268
44,0.011129193
45,-0.01786614
46,-0.04353676
47,-0.06739517
48,-0.11317078
49,-0.12496982
50,-0.14329968
51,-0.14204164
52,-0.11828096
53,-0.0881917
54,-0.035779588
55,0.0009930357
56,0.0045749843
57,-0.0027587116
58,-0.010170605
59,-0.012399662
60,-0.019814422
61,-0.025265953
62,-0.019965084
63,-0.018944632
64,-0.01335435
65,-0.0038456582
66,0.0026529059
67,0.0243829
68,0.014005713
69,-0.010181418
70,-0.032849956
71,-0.052447367
72,-0.09670563
73,-0.10122222
74,-0.104878835
75,-0.09984199
76,-0.06851495
77,-0.019693848
78,0.044845603
79,0.0908802
80,0.08868888
81,0.080353364
82,0.088461824
83,0.09274036
84,0.09006733
85,0.07978723
86,0.06829814
87,0.046570063
88,0.039601788
89,0.051431738
90,0.08516602
91,0.11400531
92,0.1092385
93,0.09115985
94,0.0630188
95,0.025010135
96,-0.032506675
97,-0.040430076
98,-0.040579587
99,-0.040951654
100,-0.02289303
101,0.010007668
102,0.061312772
103,0.084779
104,0.06525881
105,0.042916276
106,0.0390054
107,0.031551484
108,0.01171674
109,-0.0049888296
110,-0.015441719
111,-0.024275135
112,-0.024575103
113,-0.006781932
114,0.030789256
115,0.06577745
116,0.07641402
117,0.07367653
118,0.06448634
119,0.041521057
120,-0.0029089358
121,0.0035992912
122,0.02875679
123,0.060230896
124,0.10212036
125,0.15916233
126,0.21721248
127,0.2578791
128,0.26342988
129,0.2596132
130,0.27682742
131,0.3018009
132,0.31062663
133,0.3079579
134,0.29862362
135,0.28665712
136,0.29321608
137,0.30077386
138,0.31750387
139,0.33966756
140,0.32749677
141,0.30805802
142,0.27237636
143,0.223703
144,0.20584139
145,0.19109896
146,0.19699049
147,0.21426289
148,0.23393983
149,0.25933155
150,0.29358366
151,0.32951325
152,0.3460592
153,0.34351543
154,0.33333474
155,0.30856794
156,0.2643746
157,0.21816981
158,0.16636226
159,0.13080528
160,0.10598872
161,0.09541055
162,0.13139616
163,0.18043032
164,0.18908858
165,0.18976548
166,0.17949255
167,0.16252463
168,0.14247113
169,0.13794722
170,0.1492392
171,0.17119217
172,0.19442901
173,0.2231622
174,0.25411037
175,0.28409657
176,0.29721272
177,0.28256926
178,0.25355
179,0.21872613
180,0.1757088
181,0.13253008
182,0.0923384
183,0.06961268
184,0.051239885
185,0.058023885
186,0.092186496
187,0.122878626
188,0.11951588
189,0.10869328
190,0.07941016
191,0.046765275
192,-0.019642226
193,-0.028042015
194,-0.027850686
195,-0.018331997
196,0.00792674
197,0.053087067
198,0.11021361
199,0.1313157
200,0.113791205
201,0.0945314
202,0.08404034
203,0.061395437
204,0.033457655
205,0.011194261
206,-0.004215818
207,-0.01649752
208,-0.02112985
209,-0.014694352
210,0.003936298
211,0.032317612
212,0.025272366
213,0.0028534625
214,-0.024702333
215,-0.04926243
216,-0.10146493
217,-0.106431164
218,-0.13054946
219,-0.12637952
220,-0.10786133
221,-0.076574266
222,-0.02648884
223,0.005055368
224,0.0017745495
225,-0.0016599409
226,-0.00029490516
227,-0.007693
228,-0.015303157
229,-0.019829543
230,-0.020560414
231,-0.016470376
232,-0.00932017
233,0.00033289567
234,0.011397883
235,0.030399159
236,0.022961304
237,-0.0031834822
238,-0.03338687
239,-0.05727593
240,-0.11066677
241,-0.11892977
242,-0.14506659
243,-0.14578754
244,-0.13078289
245,-0.10312209
246,-0.05565914
247,-0.025130056
248,-0.021863464
249,-0.019007444
250,-0.010394424
251,-0.011432849
252,-0.0113128675
253,-0.0113944
254,-0.0048922505
255,-9.6123666e-05
256,0.0044501238
257,0.0130675025
258,0.021586362
259,0.039512467
260,0.035755184
261,0.011401458
262,-0.02285281
263,-0.047404367
264,-0.10380099
265,-0.11225076
266,-0.1389615
267,-0.14125493
268,-0.12534812
269,-0.09963252
270,-0.054156266
271,-0.024386011
272,-0.019310705
273,-0.0138682015
274,0.0023272857
275,0.010217762
276,0.014787471
277,0.016158136
278,0.020405717
279,0.02197012
280,0.023479048
281,0.029026512
282,0.035677496
283,0.053745847
284,0.047059104
285,0.02555462
286,-0.0067171445
287,-0.03283825
288,-0.0911352
289,-0.0918614
290,-0.11684287
291,-0.11622096
292,-0.10124149
293,-0.0734374
294,-0.0290974
295,-0.0050874054
296,0.0024189204
297,0.014710885
298,0.02816052
299,0.043484136
300,0.056160275
301,0.06660397
302,0.07101289
303,0.06447383
304,0.06522626
305,0.06359286
306,0.07147648
307,0.078196816
308,0.05962211
309,0.02750212
310,0.0016572699
311,-0.018540308
312,-0.05565203
313,-0.09956175
