,Time,Temp(f),Humidity,Wind Speed,Condition
0,2002-01-01 00:00:00,36.0,0.64,7.0,0.0
1,2002-01-01 01:00:00,36.0,0.57,8.0,0.0
2,2002-01-01 02:00:00,36.0,0.57,8.0,0.0
3,2002-01-01 03:00:00,36.0,0.57,6.0,0.0
4,2002-01-01 04:00:00,35.0,0.61,8.0,0.0
5,2002-01-01 05:00:00,34.0,0.64,5.0,0.0
6,2002-01-01 06:00:00,35.0,0.64,7.0,0.0
7,2002-01-01 07:00:00,34.0,0.64,9.0,0.0
8,2002-01-01 08:00:00,35.0,0.64,8.0,0.0
9,2002-01-01 09:00:00,37.0,0.59,10.0,0.0
10,2002-01-01 10:00:00,39.0,0.55,7.0,0.0
11,2002-01-01 11:00:00,39.0,0.55,7.0,0.0
12,2002-01-01 12:00:00,39.0,0.57,6.0,0.0
13,2002-01-01 13:00:00,40.0,0.58,12.0,0.0
14,2002-01-01 14:00:00,41.0,0.57,8.0,0.0
15,2002-01-01 15:00:00,40.0,0.58,12.0,0.0
16,2002-01-01 16:00:00,39.0,0.53,8.0,0.0
17,2002-01-01 17:00:00,39.0,0.5,9.0,0.0
18,2002-01-01 18:00:00,35.0,0.78,12.0,0.0
19,2002-01-01 19:00:00,35.0,0.82,12.0,0.0
20,2002-01-01 20:00:00,34.0,0.89,12.0,0.0
22,2002-01-01 22:00:00,33.0,0.92,8.5,0.0
23,2002-01-01 23:00:00,33.0,0.92,3.0,0.0
24,2002-01-02 00:00:00,32.0,0.96,3.0,0.0
25,2002-01-02 01:00:00,32.0,0.92,7.0,0.0
26,2002-01-02 02:00:00,31.0,0.96,6.0,0.0
27,2002-01-02 03:00:00,31.0,0.92,3.0,0.0
28,2002-01-02 04:00:00,31.0,0.85,3.0,0.0
29,2002-01-02 05:00:00,31.0,0.85,6.0,0.0
30,2002-01-02 06:00:00,33.0,0.66,6.0,0.0
31,2002-01-02 07:00:00,32.0,0.61,7.0,0.0
32,2002-01-02 08:00:00,33.0,0.54,6.0,0.0
33,2002-01-02 09:00:00,34.0,0.48,9.0,0.0
34,2002-01-02 10:00:00,39.0,0.38,10.0,0.0
35,2002-01-02 11:00:00,41.0,0.38,15.0,0.0
36,2002-01-02 12:00:00,42.0,0.4,15.0,0.0
37,2002-01-02 13:00:00,44.0,0.38,8.0,0.0
38,2002-01-02 14:00:00,45.0,0.39,12.0,0.0
39,2002-01-02 15:00:00,43.0,0.43,8.0,0.0
40,2002-01-02 16:00:00,42.0,0.45,8.0,0.0
41,2002-01-02 17:00:00,40.0,0.51,7.0,0.0
42,2002-01-02 18:00:00,38.0,0.57,3.0,0.0
43,2002-01-02 19:00:00,37.0,0.62,5.0,0.0
44,2002-01-02 20:00:00,36.0,0.67,7.0,0.0
45,2002-01-02 21:00:00,34.0,0.79,8.0,0.0
46,2002-01-02 22:00:00,33.0,0.78,6.0,0.0
47,2002-01-02 23:00:00,31.0,0.79,0.0,0.0
48,2002-01-03 00:00:00,29.0,0.89,3.0,0.0
49,2002-01-03 01:00:00,28.0,0.85,0.0,0.0
50,2002-01-03 02:00:00,27.0,0.89,0.0,0.0
51,2002-01-03 03:00:00,27.0,0.85,0.0,0.0
52,2002-01-03 04:00:00,27.0,0.81,3.0,0.0
53,2002-01-03 05:00:00,28.0,0.81,0.0,0.0
54,2002-01-03 06:00:00,27.0,0.81,0.0,0.0
55,2002-01-03 07:00:00,27.0,0.81,0.0,0.0
56,2002-01-03 08:00:00,30.0,0.72,0.0,0.0
60,2002-01-03 12:00:00,40.0,0.47,5.0,0.0
61,2002-01-03 13:00:00,43.0,0.45,0.0,0.0
62,2002-01-03 14:00:00,44.0,0.45,0.0,0.0
63,2002-01-03 15:00:00,45.0,0.44,3.0,0.0
64,2002-01-03 16:00:00,43.0,0.47,7.0,0.0
65,2002-01-03 17:00:00,41.0,0.53,7.0,0.0
66,2002-01-03 18:00:00,40.0,0.55,3.0,0.0
67,2002-01-03 19:00:00,38.0,0.62,5.0,0.0
68,2002-01-03 20:00:00,37.0,0.59,6.0,0.0
69,2002-01-03 21:00:00,34.0,0.73,0.0,0.0
70,2002-01-03 22:00:00,33.0,0.75,0.0,0.0
71,2002-01-03 23:00:00,33.0,0.72,0.0,0.0
72,2002-01-04 00:00:00,32.0,0.75,3.0,0.0
73,2002-01-04 01:00:00,30.0,0.79,0.0,0.0
74,2002-01-04 02:00:00,30.0,0.79,5.0,0.0
75,2002-01-04 03:00:00,30.0,0.82,3.0,0.0
76,2002-01-04 04:00:00,29.0,0.85,0.0,0.0
77,2002-01-04 05:00:00,29.0,0.85,5.0,0.0
78,2002-01-04 06:00:00,29.0,0.85,0.0,0.0
79,2002-01-04 07:00:00,29.0,0.85,0.0,0.0
80,2002-01-04 08:00:00,34.0,0.73,0.0,0.0
81,2002-01-04 09:00:00,39.0,0.57,5.0,0.0
82,2002-01-04 10:00:00,42.0,0.6,8.0,0.0
86,2002-01-04 14:00:00,51.0,0.71,7.0,0.0
87,2002-01-04 15:00:00,50.0,0.74,7.0,0.0
89,2002-01-04 17:00:00,50.0,0.8,5.0,0.0
90,2002-01-04 18:00:00,49.0,0.86,5.0,0.0
