,src,output
0,0.13952641,0.0961
1,0.15517047,0.1022
2,0.17397542,0.1151
3,0.1959892,0.1382
4,0.21317649,0.1593
5,0.22025456,0.1742
6,0.22116397,0.1736
7,0.21783735,0.1661
8,0.19523293,0.1544
9,0.18574353,0.1493
10,0.174657,0.1431
11,0.15996984,0.1392
12,0.15252562,0.1382
13,0.14485112,0.1398
14,0.17505714,0.1495
15,0.20390968,0.1876
16,0.20799232,0.1943
17,0.20312679,0.1857
18,0.20117599,0.1732
19,0.1703209,0.1522
20,0.18917851,0.1522
21,0.16141354,0.108
22,0.16982076,0.1135
23,0.1634747,0.1012
24,0.14640643,0.10767
25,0.1652982,0.1232
26,0.20568609,0.157
27,0.261337,0.2068
28,0.2702274,0.2314
29,0.25978476,0.223
30,0.25607798,0.2155
31,0.25050098,0.2076
32,0.22257411,0.1996
33,0.21870662,0.1918
34,0.20422216,0.184
35,0.18897323,0.1788
36,0.1914256,0.1742
37,0.19137493,0.1755
38,0.21202609,0.1847
39,0.24817462,0.2213
40,0.24117537,0.2281
41,0.23657335,0.2197
42,0.22624981,0.2009
43,0.19742991,0.1691
44,0.21901916,0.1691
45,0.16949414,0.1135
46,0.1863317,0.12
47,0.16877125,0.10834
48,0.08374894,0.07
49,0.07329885,0.0661
50,0.08691519,0.0711
51,0.113812186,0.095
52,0.18018891,0.1431
53,0.20820355,0.1713
54,0.20761332,0.174
55,0.20668115,0.1779
56,0.20151629,0.1779
57,0.18738453,0.1755
58,0.17972744,0.1713
59,0.18666331,0.1687
60,0.17626198,0.1655
61,0.17945488,0.1632
62,0.1802895,0.1652
63,0.19615746,0.1888
64,0.23309548,0.2266
65,0.23487586,0.2258
66,0.23988417,0.2191
67,0.21144137,0.2048
68,0.17298867,0.1722
69,0.18166982,0.1722
70,0.09959791,0.106
71,0.11065253,0.1158
72,0.092841215,0.0875
73,0.09015014,0.0885
74,0.087057985,0.0989
75,0.12160242,0.1294
76,0.17937247,0.1791
77,0.19562043,0.206
78,0.20497651,0.2068
79,0.19637434,0.2039
80,0.20647758,0.1996
81,0.19444789,0.1914
82,0.19560494,0.1808
83,0.19265093,0.1722
84,0.19177572,0.1652
85,0.18640243,0.1603
86,0.18858108,0.1636
87,0.2181805,0.1866
88,0.25847536,0.2295
89,0.25131783,0.2305
90,0.24973334,0.2288
91,0.22983712,0.2197
92,0.21150352,0.1953
