,src,output
0,0.14809977,0.1328
1,0.13662119,0.1354
2,0.16293988,0.1562
3,0.19917473,0.1978
4,0.24206644,0.26
5,0.25880685,0.306
6,0.26009274,0.3071
7,0.2372559,0.2754
8,0.21513925,0.2448
9,0.20302972,0.2208
10,0.20635286,0.2042
11,0.20491898,0.2012
12,0.21118271,0.2134
13,0.23373063,0.2413
14,0.25990525,0.2778
15,0.3330626,0.3455
16,0.34809566,0.353
17,0.33774525,0.335
18,0.30881128,0.312
19,0.28991073,0.285
20,0.25046378,0.243
21,0.20292664,0.2034
22,0.16873808,0.1794
23,0.16351226,0.1615
24,0.1640537,0.1523
25,0.16195573,0.1515
26,0.17062481,0.1676
27,0.21404573,0.206
28,0.2604965,0.2654
29,0.2826012,0.3005
30,0.26150197,0.3076
31,0.24394608,0.295
32,0.2131227,0.2788
33,0.1998834,0.265
34,0.20805825,0.2554
35,0.19270411,0.2532
36,0.19920418,0.261
37,0.23617458,0.2778
38,0.262628,0.2937
39,0.33690384,0.3508
40,0.34284168,0.3525
41,0.33487728,0.3325
42,0.32213458,0.3083
43,0.28976947,0.2778
44,0.26267383,0.2378
45,0.21137401,0.1978
46,0.18008748,0.1755
47,0.1733849,0.1567
48,0.50699407,0.628
49,0.50780743,0.597
50,0.50699157,0.5596
51,0.45058098,0.506
52,0.37703246,0.4287
53,0.3076933,0.352
54,0.25813183,0.295
55,0.23445696,0.2554
56,0.20448282,0.2366
57,0.19794194,0.22
58,0.2027937,0.2191
59,0.22238879,0.2356
60,0.2459282,0.254
61,0.2884962,0.274
62,0.3076252,0.29
63,0.3051505,0.2976
64,0.35816604,0.3171
65,0.36178347,0.3455
66,0.37423387,0.382
67,0.4331524,0.4263
68,0.4495856,0.4595
69,0.46470445,0.4978
70,0.4484016,0.5312
71,0.43594024,0.5537
72,0.5069338,0.5615
73,0.50820035,0.536
74,0.4978191,0.5083
75,0.44660237,0.4612
76,0.37600234,0.3909
77,0.31596038,0.3264
78,0.26283073,0.2766
79,0.23183027,0.2396
80,0.20641275,0.2169
81,0.20318475,0.202
82,0.20772125,0.202
83,0.21544853,0.2195
84,0.24680361,0.2374
85,0.27528748,0.266
86,0.29033485,0.2817
87,0.30005175,0.291
88,0.2853927,0.298
89,0.30206534,0.3076
90,0.3238623,0.322
91,0.3688168,0.335
92,0.37119964,0.351
93,0.3930941,0.3699
94,0.38999793,0.387
95,0.38657448,0.3948
96,0.16792399,0.1576
97,0.14731362,0.1428
98,0.15923968,0.1362
99,0.1572533,0.1437
100,0.17907724,0.165
101,0.2041829,0.1842
102,0.23049507,0.2017
103,0.2303122,0.2112
104,0.2060056,0.2042
105,0.20109889,0.1917
106,0.20973876,0.1925
107,0.21523012,0.1938
108,0.24298343,0.1938
109,0.26481742,0.1895
110,0.27848613,0.1956
111,0.31140572,0.2195
112,0.3491349,0.2491
113,0.35827377,0.2722
114,0.36046544,0.2932
115,0.36561492,0.3093
116,0.34805256,0.2878
117,0.28049618,0.2478
118,0.23963383,0.2122
119,0.21679685,0.1798
120,0.17992969,0.1567
121,0.17910215,0.141
122,0.16358446,0.1349
123,0.1716376,0.1423
124,0.1871697,0.1633
125,0.20966077,0.1794
126,0.21974292,0.1895
127,0.21333821,0.1912
128,0.20157069,0.1847
129,0.19569874,0.1798
130,0.19460383,0.179
131,0.22285657,0.1816
132,0.2438413,0.1847
133,0.27416295,0.1917
134,0.30517808,0.2012
135,0.32444292,0.2203
136,0.34476918,0.2522
137,0.35517365,0.2737
138,0.35702285,0.295
139,0.3603609,0.3132
140,0.33691743,0.2861
141,0.2800481,0.2457
142,0.25834832,0.2073
143,0.22029501,0.1794
144,0.18752393,0.2383
145,0.22677675,0.2732
146,0.2101196,0.2915
147,0.19871673,0.2837
148,0.20200914,0.2722
149,0.19589707,0.2656
150,0.18176019,0.254
151,0.18366666,0.257
152,0.2011038,0.2632
153,0.21703,0.2815
154,0.24259481,0.3245
155,0.29771772,0.3909
156,0.28891343,0.3975
157,0.29151508,0.3855
158,0.2854589,0.3713
159,0.28561354,0.3455
160,0.24164271,0.2976
161,0.20672524,0.2488
162,0.1881066,0.2161
163,0.16545916,0.1978
164,0.13794532,0.189
165,0.13931876,0.1837
166,0.15715924,0.1925
167,0.19616252,0.2183
168,0.20463279,0.2678
169,0.22093472,0.2954
170,0.20871207,0.2822
171,0.18808806,0.255
172,0.19606304,0.2256
173,0.19683164,0.2073
174,0.1779801,0.1969
175,0.19754216,0.2008
176,0.19693312,0.2047
177,0.22769432,0.2374
178,0.2791583,0.2944
179,0.32162216,0.3655
180,0.31613985,0.3738
181,0.30997908,0.366
182,0.29702368,0.353
183,0.2941916,0.3286
184,0.2643915,0.2888
185,0.22089577,0.2422
186,0.19995953,0.2095
187,0.1709609,0.1868
188,0.15871496,0.1711
189,0.14712076,0.1659
190,0.14906,0.1703
191,0.17758988,0.1898
192,0.2660204,0.2822
193,0.2630636,0.2776
194,0.2640369,0.2695
195,0.25225264,0.2627
196,0.2525303,0.2532
197,0.24804124,0.2632
198,0.26061144,0.2854
199,0.31359628,0.3267
200,0.37021902,0.3655
201,0.34733889,0.3616
202,0.34437314,0.3389
203,0.31012467,0.302
